2021-08-22T15:17:57.941732400 : 2021-08-22T15:17:57.933333100: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.951872600 : 2021-08-22T15:17:57.950731700: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.966731100 : 2021-08-22T15:17:57.965732300: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.973079600 : 2021-08-22T15:17:57.973079600: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.976990200 : 2021-08-22T15:17:57.976101200: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.977274200 : 2021-08-22T15:17:57.977274200: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.984985600 : 2021-08-22T15:17:57.984985600: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.986995100 : 2021-08-22T15:17:57.985989800: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.994989600 : 2021-08-22T15:17:57.994989600: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.995988400 : 2021-08-22T15:17:57.995988400: the following Order has been editedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:57.996990200 : 2021-08-22T15:17:57.996990200: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=CA, taxRate=25.00, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=2.48, total=12.38}
2021-08-22T15:17:58.006071600 : 2021-08-22T15:17:58.006071600: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:17:58.007988200 : 2021-08-22T15:17:58.007460800: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:18:34.970649500 : 2021-08-22T15:18:34.962649: the following Order has been added Order{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
2021-08-22T15:18:34.981645900 : 2021-08-22T15:18:34.981645900: the following Order has been removedOrder{orderNumber=-1, customerName=Testy McTest, area=1, stateAbbrivation=TX, taxRate=4.45, productType=Wood, costPerSqFoot=5.15, laborPerSqFoot=4.75, materialCost=5.15, laborCost=4.75, tax=0.44, total=10.34}
